"","kME_MM.turquoise","kME_MM.yellow","kME_MM.brown","kME_MM.blue","kME_MM.green","kME_MM.grey"
"Gene.884",-0.0792061623852175,0.425350320374507,-0.688573038067849,-0.599360752542163,-0.430785506291946,0.745026011306884
"Gene.885",0.937252575327387,0.652021062060697,0.491003716473115,-0.241819075197942,-0.380698417100905,0.120387513669686
"Gene.886",0.688051444557137,0.797326039954562,0.00672446963367201,-0.523745314958967,-0.283745144119208,0.489271278793392
"Gene.887",0.863466415785412,0.582977880606395,0.344735583008384,-0.289648035597889,-0.332902654070062,0.323267978748335
"Gene.888",0.491284777321086,0.484710965237102,-0.0299835388299147,-0.386943596213521,-0.569332196550262,0.285816847569021
"Gene.889",-0.358609035080054,-0.410894712472855,0.361678882841464,0.683586498183158,0.827542837714217,-0.319911978730021
"Gene.890",-0.182016668317724,0.213698585201833,-0.501002352257982,-0.354198513973916,0.0687220423852217,0.519482632211038
"Gene.891",0.836521434387978,0.663944954004498,0.354594353534978,-0.282391465716463,-0.23293484280633,0.346326256929861
"Gene.892",0.961344188929804,0.715737299282705,0.445881643326484,-0.300850467975861,-0.394509355149727,0.245296893582516
"Gene.893",0.941252136445517,0.730089712959023,0.450323980869665,-0.260362670399081,-0.352369884287718,0.262644141214197
"Gene.894",0.69164127647145,0.210701121237055,0.916025317637862,0.397154441192076,0.190724134297451,-0.302242728614454
"Gene.895",0.461712518101112,0.591438930976253,-0.265177825906831,-0.632686677126646,-0.736375784107245,0.430349851857279
"Gene.896",0.793262772790096,0.884545863631879,0.15506666542989,-0.493462885176257,-0.354142777538496,0.411272484963928
"Gene.897",0.964008821687732,0.635791009958281,0.556378752612607,-0.185167290322396,-0.278098132172478,0.147851123679967
"Gene.898",0.209523655862928,0.0431433915112239,0.641908207279717,0.460195970210885,0.526076193496067,-0.460479982436804
"Gene.899",0.968093124374152,0.709283113316304,0.461169889157718,-0.291488702382518,-0.37936620318806,0.21865172751547
"Gene.900",0.466187010063623,-0.0152649202888214,0.928062608959316,0.591490422662777,0.381383360744343,-0.427442164107761
"Gene.901",0.401203178908583,0.668989432501869,-0.435948868251309,-0.724523608323631,-0.515722637268046,0.800954099510791
"Gene.902",0.928745428434535,0.743679631493049,0.409007254431794,-0.301457681396685,-0.371256894702605,0.271477747869823
"Gene.903",0.95273667087941,0.681322450664539,0.477832122747088,-0.264887302344872,-0.31441675254655,0.213187910442355
"Gene.904",0.926807499104911,0.570702229561093,0.569989413877714,-0.132556746935161,-0.199421198777245,0.172253593350006
"Gene.905",0.926152312134146,0.679332808160568,0.436918893077574,-0.27218948406509,-0.416761991419776,0.223630707762358
"Gene.906",0.156478420669087,-0.21040675705252,0.742555992696692,0.651936620878001,0.686321276025439,-0.454047032648595
"Gene.907",0.821773927173505,0.894563268810322,0.123161560022662,-0.520103100989953,-0.451687698613783,0.492077917809033
"Gene.908",0.964449347680664,0.684770344791548,0.533918975151282,-0.208292897188926,-0.244926209325833,0.211596229146341
"Gene.909",-0.597829444578812,-0.473626528501234,0.0824441505566953,0.525790224191868,0.492333269189471,-0.42161494286236
"Gene.910",0.917079136394074,0.625276700893073,0.470881373283402,-0.223099244780543,-0.374522751956546,0.173344971349321
"Gene.911",0.527595378076985,0.733426212386621,-0.223105357359631,-0.591402175959127,-0.617429651189626,0.72034558300222
